desc_tier_llm,salary_mid,experience_min_llm,edulevel_llm,state,sector
none,90000,0,-,Texas,Information Technology
none,160000,3,-,Unknown,Human Resources & Staffing
none,95000,3,Bachelor's,Michigan,Information Technology
ai_integration,125000,2,-,Unknown,Unknown
none,80000,3,-,Unknown,Unknown
none,125000,3,-,Maryland,Aerospace & Defense
none,97400,3,Bachelor's,Minnesota,Manufacturing
none,84069,6,Bachelor's,Virginia,Aerospace & Defense
none,101300,0,-,Texas,Financial Services
none,96900,3,Bachelor's,Indiana,Retail & Wholesale
none,100508,3,Bachelor's,California,Unknown
none,90800,4,Bachelor's,Virginia,Aerospace & Defense
none,92550,,-,Wisconsin,Financial Services
none,155060,6,Bachelor's,Illinois,Retail & Wholesale
none,176450,,-,Texas,Information Technology
none,112500,,-,Nebraska,Unknown
ai_integration,115000,,-,Illinois,Manufacturing
none,155060,6,Bachelor's,Illinois,Retail & Wholesale
ai_integration,175000,5,Bachelor's,New York State,Information Technology
none,120000,4,Bachelor's,Unknown,Nonprofit & NGO
ai_integration,94200,3,Bachelor's,Illinois,Pharmaceutical & Biotechnology
applied_ai,180000,5,-,Unknown,Information Technology
none,60000,3,Bachelor's,Illinois,Media & Communication
ai_integration,90000,,-,Unknown,Unknown
ai_integration,124823,3,Bachelor's,California,Unknown
none,70000,3,Bachelor's,Colorado,Hotels & Travel Accommodation
ai_integration,136671,8,Bachelor's,Unknown,Information Technology
ai_integration,149570,5,Bachelor's,Virginia,Management & Consulting
applied_ai,144916,5,Bachelor's,Colorado,Manufacturing
none,149500,5,-,Missouri,Financial Services
none,175000,2,-,California,Unknown
none,91700,2,Bachelor's,New York State,Nonprofit & NGO
none,100000,3,-,Unknown,Unknown
none,113625,,-,North Carolina,Financial Services
none,120000,5,-,Unknown,Financial Services
none,112118,,-,Idaho,Unknown
ai_integration,220000,1,-,Georgia,Unknown
none,91919,1.5,-,Texas,Information Technology
none,138667,1,-,Maryland,Government & Public Administration
none,93150,3,-,New Jersey,Insurance
ai_integration,140000,,Bachelor's,California,Unknown
none,114427,6,Bachelor's,Pennsylvania,Information Technology
none,120000,1,-,California,Information Technology
ai_integration,119750,,Master's,Florida,Financial Services
none,119500,,-,Missouri,Financial Services
ai_integration,101375,0,Bachelor's,Florida,Financial Services
none,123000,,Bachelor's,Unknown,Aerospace & Defense
none,111419,,-,Massachusetts,Information Technology
applied_ai,330000,6,-,California,Management & Consulting
none,110578,10,Bachelor's,Ohio,"Construction, Repair & Maintenance Services"
ai_integration,350000,5,-,Unknown,Information Technology
applied_ai,160000,3,Bachelor's,Unknown,Information Technology
none,82346,3,Bachelor's,Texas,Information Technology
none,90000,2,Bachelor's,Georgia,Unknown
none,198800,,Bachelor's,California,Information Technology
applied_ai,129216,3,Bachelor's,California,Unknown
none,115000,4,-,Texas,Information Technology
none,147169,7,-,Georgia,Financial Services
none,87500,5,-,Illinois,Information Technology
none,111000,3,Bachelor's,Unknown,Information Technology
ai_integration,125000,3,Bachelor's,Kansas,Unknown
applied_ai,164500,2,Bachelor's,California,Information Technology
applied_ai,98233,4,Bachelor's,Indiana,Financial Services
none,130006,8,-,New York State,Unknown
none,103925,,-,Illinois,Media & Communication
none,146607,5,Bachelor's,Unknown,Information Technology
none,152500,2,-,New York State,Healthcare
none,120731,,-,Texas,Human Resources & Staffing
none,102500,3,-,Unknown,Information Technology
none,95245,5,-,Texas,Unknown
none,90000,,-,Unknown,Management & Consulting
none,175000,3,-,Unknown,Information Technology
applied_ai,138355,8,Bachelor's,California,Information Technology
none,104025,2,Bachelor's,Washington State,Aerospace & Defense
applied_ai,124297,3,Bachelor's,Minnesota,Information Technology
none,93954,0,Bachelor's,California,Aerospace & Defense
none,105000,5,-,Unknown,Unknown
none,175979,5,High School,Virginia,Aerospace & Defense
ai_integration,148000,4,-,North Carolina,Financial Services
none,102008,4,Bachelor's,Texas,Information Technology
applied_ai,134375,0,Bachelor's,Unknown,Transportation & Logistics
none,132500,3,-,Unknown,Management & Consulting
none,89609,5,-,Wisconsin,Information Technology
applied_ai,120000,3,-,Massachusetts,Manufacturing
none,88442,,-,Pennsylvania,Unknown
ai_integration,157200,6,Bachelor's,Texas,Financial Services
none,51533,3,Bachelor's,North Carolina,Healthcare
none,97500,5,Associate,Colorado,Information Technology
none,95000,,-,Virginia,Unknown
none,100000,4,Bachelor's,Texas,Financial Services
applied_ai,216000,,Bachelor's,California,Manufacturing
ai_integration,87123,4,-,Pennsylvania,Information Technology
none,89000,3,Bachelor's,Illinois,Financial Services
