skills;skills_ai_det;skills_hasai_det;desc_tier_llm;desc_conf_llm;ai_confidence;desc_ai_llm;is_real_ai;hardskills;softskills;edu_level_det;edulevel_llm;experience_min_llm;ai_det_llm_match;desc_hard_det;desc_soft_det;desc_hard_llm;desc_soft_llm;id;job_title;location;company_id;company;age_in_days;pay_currency;pay_period;salary_min;salary_mid;salary_max;rating;discover_date;job_types;remote_work_types;city;state;country;latitude;longitude;ceo;headquarters;industry;sector;revenue;size;type;year_founded;region;job_family;sector_nace;cluster_architecture__methods;cluster_bi__analytics;cluster_backend_development;cluster_certifications;cluster_cloud_computing;cluster_data_analysis__stats;cluster_data_engineering;cluster_data_science__ml;cluster_databases__storage;cluster_devops__containers;cluster_dynamic__web;cluster_enterprise__managed;cluster_enterprise_platforms;cluster_frontend_development;cluster_generative_ai;cluster_legacy__mainframe;cluster_mobile__desktop;cluster_networking;cluster_os__embedded;cluster_scripting__shell;cluster_security__identity;cluster_systems_programming;cluster_testing_qa__debugging;cluster_tools__editors;skill_cluster;website
English, Systems engineering, Cybersecurity, German;;0;none;0.9;0.9;;0;cism, cissp, cybersecurity, iso27001, penetration testing, software engineering;flexibility, innovation, mentoring;;-;-;1;cism, cissp, cybersecurity, iso27001, penetration testing, software engineering;flexibility, innovation, mentoring;;;1;Cyber Security Engineer/Specialist (m/w/d) - Standort Garching;Deutschland;1794418.0;ITQ GmbH;0;EUR;;;;;4.1;2025-10-07T00:00:00;Full-time;;;;Germany;51.0;9.0;;Garching b.München, Deutschland;;;Unbekannt/Nicht zutreffend;1 bis 50 Mitarbeiter;Privatunternehmen;;Unknown;Security;Unknown;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
System administration, Analysis skills, Computer networking;;0;none;0.85;0.85;;0;networking;;;Associate;-;1;networking;;;;2;Cyber-Security Engineer (w/m/d);Osterholz-Scharmbeck;932902.0;Matthäi Verden;83;EUR;;;;;4.8;2025-09-16T00:00:00;;;Osterholz-Scharmbeck;Niedersachsen;Germany;53.230404;8.782826;Andreas Höttler;Verden (Aller), Deutschland;Bauwesen;Bauwesen, Reparatur- und Wartungsservices;Unbekannt/Nicht zutreffend;1.001 bis 5.000 Mitarbeiter;Unbekannt;1995.0;Unknown;Security;Unknown;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;
English, Analysis skills, Splunk, German;;0;none;0.8;0.8;;0;mitre att&ck, splunk;;;Associate;-;1;mitre att&ck, splunk;;;;3;Detection Engineer (m/w/d);Neckarsulm;10042042.0;Schwarz IT;316;EUR;;;;;4.0;2025-09-24T00:00:00;Full-time;;Neckarsulm;Baden-Württemberg;Germany;49.190147;9.223944;;Neckarsulm, Deutschland;;;Unbekannt/Nicht zutreffend;1.001 bis 5.000 Mitarbeiter;Privatunternehmen;;Unknown;Software Engineer;Unknown;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
English, IT, Cybersecurity, German;;0;none;0.85;0.85;;0;cybersecurity, dax;;;-;-;1;cybersecurity, dax;;;;4;Cyber Security Engineer (m/w/d);Heilbronn;946922.0;top itservices AG;25;EUR;;;;;3.8;2025-09-11T00:00:00;Full-time, Contract;;Heilbronn;Baden-Württemberg;Germany;49.140427;9.217953;Christoph Sedlmeir;Unterhaching, Deutschland;Personalwesen & Personalvermittlungen;Personalwesen;25 bis 100 Millionen $ (USD);201 bis 500 Mitarbeiter;Aktiengesellschaft;1980.0;Unknown;Security;N;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
English, IT, Cybersecurity, Communication skills, German;;0;none;0.82;0.82;;0;cybersecurity, iso27001;communication, flexibility, innovation;;Bachelor's;-;1;cybersecurity, iso27001;communication, flexibility, innovation;;;5;Network & Cyber Security Engineer (m/w/d)*;Regensburg;10660.0;Krones;25;EUR;;;;;4.1;2025-09-12T00:00:00;;;Regensburg;Bayern;Germany;49.017445;12.097166;Christoph Klenk;Neutraubling, Deutschland;Fertigungsbetriebe;Produktion;weniger als 1 Million $ (USD);Mehr als 10.000 Mitarbeiter;Privatunternehmen;1951.0;Unknown;Security;C;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
Jira, Computer science, Test automation, English, Confluence, German;;0;none;0.75;0.75;;0;computer vision, confluence, foundation, jira, software engineering, test automation;flexibility, innovation, integrity, teamwork;;-;-;1;computer vision, confluence, foundation, jira, software engineering, test automation;flexibility, innovation, integrity, teamwork;;;6;Defence Digital Engineering - IVV Test Engineer (d/f/m);Immenstaad;10387272.0;E Airbus Defence and Space GmbH;181;EUR;;;;;3.8;2025-09-09T00:00:00;Full-time;;Immenstaad;Baden-Wurttemberg;Germany;47.666622;9.37146;;Getafe, Spanien;;;Unbekannt/Nicht zutreffend;1 bis 50 Mitarbeiter;Unbekannt;;Unknown;QA & Testing;Unknown;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;;
Cybersecurity;;0;none;0.82;0.82;;0;cybersecurity, edr, https, ids, security operations, siem, soar;flexibility;;-;3;1;cybersecurity, edr, https, ids, security operations, siem, soar;flexibility;;;7;Security Engineer - Operation Center (m/w/d);Essen;3751217.0;Westnetz GmbH;152;EUR;;;;;4.8;2025-10-07T00:00:00;Full-time;;Essen;Nordrhein-Westfalen;Germany;51.455845;7.012583;Jürgen Grönner;Dortmund, Deutschland;Energie- & Versorgungswirtschaft;Energie, Bergbau, Versorgungswirtschaft;5 bis 10 Milliarden $ (USD);5.001 bis 10.000 Mitarbeiter;Tochtergesellschaft oder Geschäftsbereich;2013.0;Unknown;Security;D;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;;
CI/CD, Kubernetes, Splunk, IT, Linux, TCP/IP, GitLab, Python, German;;0;none;0.85;0.85;;0;ci/cd, dashboards, dhcp, digital forensics, dns, gitlab, http, incident response, kubernetes, linux, python, shell, siem, soar, soc, splunk, tcp/ip, threat intelligence;flexibility;bachelor;Bachelor's;3;1;ci/cd, dashboards, dhcp, digital forensics, dns, gitlab, http, incident response, kubernetes, linux, python, shell, siem, soar, soc, splunk, tcp/ip, threat intelligence;flexibility;;;8;Administratorin/Administrator (m/w/d) im Security Operations Center (SOC Engineer);Düsseldorf;935367.0;Information und Technik Nordrhein-Westfalen (IT.NRW);14;EUR;;;;;3.7;2025-09-22T00:00:00;Full-time, Part-time;;Düsseldorf;Nordrhein-Westfalen;Germany;51.22422;6.780068;Dr. Oliver Heidinger;Düsseldorf, Deutschland;Landes- & Regionalbehörden;Regierung & öffentliche Verwaltung;100 bis 500 Millionen $ (USD);1.001 bis 5.000 Mitarbeiter;Öffentlicher Dienst;1948.0;Unknown;Security;Unknown;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0;;
IT, Cybersecurity, Leadership;;0;none;0.85;0.85;;0;cis benchmarks, cissp, comptia security+, cybersecurity, mitre att&ck;flexibility, leadership, mentoring;;Master's;-;1;cis benchmarks, cissp, comptia security+, cybersecurity, mitre att&ck;flexibility, leadership, mentoring;;;9;Senior IT-Security Engineer / Consultant (m/w/d) in der IT-Beratung;Weingarten;5882227.0;carmasec GmbH & Co. KG;431;EUR;ANNUAL;66400.0;78200.0;90000.0;-0.100000001;2025-10-01T00:00:00;Full-time, Part-time;;Weingarten;North Rhine-Westphalia;Germany;50.933594;6.961899;;Essen, Deutschland;;;Unbekannt/Nicht zutreffend;Unbekannt;Aktiengesellschaft;;Unknown;Security;Unknown;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
Configuration management, English, German;;0;none;0.75;0.75;;0;linux, windows;innovation;;-;-;1;linux, windows;innovation;;;10;Systems Engineer – System Design Consulting (m/w/d);Weingarten;1303004.0;INFODAS;14;EUR;;;;;3.5;2025-09-22T00:00:00;;;Weingarten;Nordrhein-Westfalen;Germany;50.933594;6.961899;Thorsten Ecke | Lutz Franken | Carsten Schulz;Köln, Deutschland;Unternehmenssoftware & Netzwerklösungen;Informationstechnologie;25 bis 100 Millionen $ (USD);201 bis 500 Mitarbeiter;Privatunternehmen;1974.0;Unknown;Systems & Embedded;J;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;;
AWS, Splunk, Software development, IT, SIEM, Cybersecurity, Python, PowerShell, Identity & access management;;0;none;0.82;0.82;;0;aws, cloud security, cybersecurity, edr, endpoint security, foundation, iam, incident response, iso27001, powershell, python, siem, software engineering, solid, splunk, windows, xdr, zero trust;collaboration, communication, creativity, innovation, organization;;Bachelor's;2;1;aws, cloud security, cybersecurity, edr, endpoint security, foundation, iam, incident response, iso27001, powershell, python, siem, software engineering, solid, splunk, windows, xdr, zero trust;collaboration, communication, creativity, innovation, organization;;;11;Cyber Security Engineer (m/f/d);Düsseldorf;10752512.0;Postcode Lottery Group;4;EUR;;;;;-0.100000001;2025-10-02T00:00:00;Part-time;;Düsseldorf;Nordrhein-Westfalen;Germany;51.22422;6.780068;;Amsterdam, Niederlande;;;Unbekannt/Nicht zutreffend;Unbekannt;Unbekannt;;Unknown;Security;Unknown;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;1;0;0;0;;
Jira, CI/CD, Selenium, English, Confluence, Software development, Software testing, Python, German;;0;none;0.75;0.75;;0;ci/cd, confluence, continuous deployment, continuous integration, jira, kanban, performance testing, playwright, python, qa, robot framework, scrum, security testing, selenium, software engineering, test automation;;;Bachelor's;-;1;ci/cd, confluence, continuous deployment, continuous integration, jira, kanban, performance testing, playwright, python, qa, robot framework, scrum, security testing, selenium, software engineering, test automation;;;;12;Test Engineer (m/w/d);Weingarten;1303004.0;INFODAS;5;EUR;;;;;3.5;2025-10-01T00:00:00;;;Weingarten;Nordrhein-Westfalen;Germany;50.933594;6.961899;Thorsten Ecke | Lutz Franken | Carsten Schulz;Köln, Deutschland;Unternehmenssoftware & Netzwerklösungen;Informationstechnologie;25 bis 100 Millionen $ (USD);201 bis 500 Mitarbeiter;Privatunternehmen;1974.0;Unknown;QA & Testing;J;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;;
