job_title_normalized;count;percentage
Software Engineer;2182;11.82
Software Developer;1696;9.19
Senior Software Engineer;1258;6.81
Full Stack Developer;1143;6.19
Engineer;708;3.83
DevOps Engineer;677;3.67
Security Engineer;654;3.54
Data Engineer;619;3.35
Programmer;592;3.21
Systems Engineer;534;2.89
Frontend Developer;450;2.44
Cybersecurity Analyst;446;2.42
Site Reliability Engineer;425;2.3
QA Engineer;353;1.91
Test Engineer;344;1.86
Automation Engineer;314;1.7
Other;308;1.67
Embedded Software Engineer;305;1.65
Web Developer;278;1.51
Cloud Engineer;259;1.4
Backend Developer;255;1.38
Security Analyst;248;1.34
QA Tester;247;1.34
Solutions Architect;235;1.27
Staff Software Engineer;201;1.09
Java Developer;177;0.96
Firmware Engineer;159;0.86
Software Development Engineer;158;0.86
Software Architect;143;0.77
Salesforce Admin/Developer;137;0.74
Database Developer;131;0.71
Principal Software Engineer;124;0.67
Mobile Developer;105;0.57
Quality Engineer;100;0.54
SDET;97;0.53
Junior Software Engineer;85;0.46
.NET Developer;85;0.46
UI/UX Designer;83;0.45
IT Analyst;79;0.43
Lead Software Engineer;75;0.41
Engineering Manager;65;0.35
Database Administrator;64;0.35
Platform Engineer;63;0.34
Tech Lead;62;0.34
DevSecOps Engineer;56;0.3
Android Developer;55;0.3
AI/ML Engineer;53;0.29
Infrastructure Engineer;53;0.29
iOS Developer;50;0.27
Solutions Engineer;49;0.27
QA Analyst;49;0.27
UI Developer;48;0.26
Business Analyst;47;0.25
Integration Engineer;46;0.25
SOC Analyst;45;0.24
Cloud Security Engineer;43;0.23
Systems Analyst;42;0.23
Game Designer;42;0.23
IT Specialist;40;0.22
Application Engineer;39;0.21
UI/UX Developer;38;0.21
Python Developer;35;0.19
Web Designer;35;0.19
Data Analyst;35;0.19
Cloud Architect;35;0.19
API Developer;32;0.17
Design Engineer;32;0.17
3D Artist;30;0.16
Security Operations Analyst;28;0.15
Technical Consultant;27;0.15
UX Designer;26;0.14
CRM Developer;26;0.14
AI Architect;25;0.14
Game Developer;23;0.12
Product Engineer;21;0.11
Project Manager;21;0.11
Business Systems Analyst;20;0.11
Product Owner;20;0.11
Product Manager;18;0.1
BI Developer;18;0.1
Threat Intelligence Analyst;18;0.1
Data Architect;17;0.09
UI Designer;17;0.09
Technical Artist;16;0.09
Enterprise Architect;16;0.09
PHP Developer;15;0.08
Technical Producer;15;0.08
Product Designer;14;0.08
Vulnerability Analyst;14;0.08
Penetration Tester;13;0.07
Systems Administrator;13;0.07
C++ Developer;13;0.07
Systems Architect;13;0.07
Software Development Manager;12;0.06
Application Architect;12;0.06
Technical Architect;12;0.06
Forward Deployed Engineer;11;0.06
Game Producer;10;0.05
Animator;10;0.05
Founding Engineer;9;0.05
Graphics Engineer;9;0.05
Information Assurance Analyst;9;0.05
GRC Analyst;9;0.05
Go Developer;8;0.04
Director of Engineering;8;0.04
Technical Support;7;0.04
Performance Engineer;7;0.04
Data Scientist;7;0.04
Level Designer;7;0.04
Scrum Master;6;0.03
ETL Developer;6;0.03
MLOps Engineer;6;0.03
Program Manager;5;0.03
DevOps Architect;5;0.03
Cloud Support Engineer;5;0.03
IAM Analyst;5;0.03
SAP Consultant;5;0.03
Security Architect;4;0.02
Application Security Engineer;4;0.02
Analytics Engineer;4;0.02
Hardware Engineer;4;0.02
AEM Architect;4;0.02
Security Compliance Analyst;4;0.02
Rust Developer;3;0.02
Ruby Developer;3;0.02
Game Artist;3;0.02
Information Architect;3;0.02
Network Architect;3;0.02
Mobile Architect;3;0.02
Delivery Manager;3;0.02
Blockchain Developer;2;0.01
Information Security Engineer;2;0.01
Scala Developer;1;0.01
CIO;1;0.01
CTO;1;0.01
Head of Engineering;1;0.01
Computer Vision Engineer;1;0.01
RMF Analyst;1;0.01
